,Link,Cena,Cena za metr,Pokoje,Powierzchnia,Forma własności,Liczba pokoi,Stan wykończenia,Piętro,Balkon / ogród / taras,Czynsz,Miejsce parkingowe,Obsługa zdalna,Ogrzewanie
0,https://www.otodom.pl/pl/oferta/mieszkanie-45-m-warszawa-ID4o3u7,770000,17111,2,45 m²,Zapytaj,2 ,Zapytaj,parter/4,Zapytaj,490 zł,Zapytaj,Zapytaj,miejskie
1,https://www.otodom.pl/pl/oferta/sloneczne-dwustronne-3pokoje-kuchnia-ID4o3tW,640000,13617,3,47 m²,pełna własność,3 ,Zapytaj,4/4,balkon,Zapytaj,Zapytaj,Zapytaj,miejskie
2,https://www.otodom.pl/pl/oferta/mieszkaniew-zielonej-okolicy-saskia-kepa-ID4o3ts,560000,14737,2,38 m²,Zapytaj,2 ,Zapytaj,4/4,balkon,Zapytaj,Zapytaj,Zapytaj,miejskie
3,https://www.otodom.pl/pl/oferta/sprzedam-apartament-w-zielonce-ID4o3tr,855000,4500,5,190 m²,pełna własność,5 ,do wykończenia,Zapytaj,ogródek,Zapytaj,garaż/miejsce parkingowe,Zapytaj,gazowe
4,https://www.otodom.pl/pl/oferta/rewelacyjna-oferta-dla-rodziny-lub-na-inwestycje-ID4o3sz,960000,15434,3,"62,2 m²",pełna własność,3 ,do zamieszkania,3/4,balkon,Zapytaj,garaż/miejsce parkingowe,Zapytaj,miejskie
5,https://www.otodom.pl/pl/oferta/apartament-z-widokiem-na-las-kabacki-ID4o3sd,795000,11522,3,69 m²,pełna własność,3 ,do zamieszkania,5/6,balkon,1 000 zł,garaż/miejsce parkingowe,Zapytaj,gazowe
6,https://www.otodom.pl/pl/oferta/3-pokoje-59-60-m2-super-lokalizacja-ID4o3rL,795000,13339,3,"59,6 m²",pełna własność,3 ,do zamieszkania,> 10/15,balkon,850 zł,Zapytaj,Zapytaj,miejskie
7,https://www.otodom.pl/pl/oferta/bezposrednio-3-pokoje-60m-do-metra-ID4o3ra,1199000,22842,3,"52,49 m²",pełna własność,3 ,do zamieszkania,2/5,balkon,500 zł,garaż/miejsce parkingowe,Zapytaj,miejskie
8,https://www.otodom.pl/pl/oferta/bezposrednio-3-pokoje-60m-do-metra-ID4o3qX,997000,18994,3,"52,49 m²",pełna własność,3 ,do wykończenia,2/5,balkon,500 zł,garaż/miejsce parkingowe,Zapytaj,miejskie
9,https://www.otodom.pl/pl/oferta/mieszkania-w-stanie-deweloperskim-z-rynku-wtornego-ID4o3qt,468800,14650,2,32 m²,pełna własność,2 ,do wykończenia,1/2,balkon,Zapytaj,garaż/miejsce parkingowe,Zapytaj,Zapytaj
10,https://www.otodom.pl/pl/oferta/kawalerka-zurominska-blisko-metra-kondratowicza-ID4o3q7,415000,15485,1,"26,8 m²",spółdzielcze wł. prawo do lokalu,Zapytaj,do zamieszkania,2/4,Zapytaj,400 zł,Zapytaj,Zapytaj,miejskie
11,https://www.otodom.pl/pl/oferta/wyjatkowe-dwupokojowe-mieszkanie-na-czerniakowie-ID4o3q4,950000,21111,2,45 m²,pełna własność,2 ,do zamieszkania,2/3,Zapytaj,700 zł,garaż/miejsce parkingowe,Zapytaj,miejskie
12,https://www.otodom.pl/pl/oferta/atrakcyjne-mieszkanie-na-warszawskim-ursynowie-ID4o3pR,790000,15310,2,"51,6 m²",spółdzielcze wł. prawo do lokalu,2 ,do zamieszkania,6/6,balkon,1 000 zł,garaż/miejsce parkingowe,tak,miejskie
13,https://www.otodom.pl/pl/oferta/w-doskonalej-lokalizacji-trzypokojowe-65-m2-ID4o3pL,949000,14489,3,"65,5 m²",Zapytaj,3 ,do zamieszkania,1/3,balkon,1 100 zł,Zapytaj,Zapytaj,miejskie
14,https://www.otodom.pl/pl/oferta/stary-mokotow-ciche-zielen-po-remoncie-ID4o3pB,1290000,24808,2,52 m²,pełna własność,2 ,do zamieszkania,2/3,balkon,540 zł,Zapytaj,Zapytaj,miejskie
15,https://www.otodom.pl/pl/oferta/cudowny-klimat-2-pok-kamienica-stara-ochota-ID4o3pp,795000,20385,2,39 m²,pełna własność,2 ,Zapytaj,6/7,balkon,575 zł,Zapytaj,Zapytaj,miejskie
16,https://www.otodom.pl/pl/oferta/unikatowe-3-4-pokoje-gotowe-do-odbioru-ID4o3p5,710000,11474,3,"61,88 m²",pełna własność,3 ,do wykończenia,parter/7,"ogródek, taras",Zapytaj,garaż/miejsce parkingowe,Zapytaj,Zapytaj
17,https://www.otodom.pl/pl/oferta/mieszkanie-2-pok-42-2m-bialoleka-os-klasykow-ID4o3oO,665000,15747,2,"42,23 m²",pełna własność,2 ,do zamieszkania,1/3,balkon,360 zł,Zapytaj,Zapytaj,miejskie
18,https://www.otodom.pl/pl/oferta/bezposrednio-sprzedam-kawalerke-ID4o3oq,580000,19333,1,30 m²,pełna własność,Zapytaj,do zamieszkania,1/4,Zapytaj,Zapytaj,garaż/miejsce parkingowe,Zapytaj,miejskie
19,https://www.otodom.pl/pl/oferta/mieszkanie-30-m-warszawa-ID4o3oc,500000,16667,1,30 m²,pełna własność,Zapytaj,do wykończenia,1/5,taras,Zapytaj,garaż/miejsce parkingowe,Zapytaj,miejskie
20,https://www.otodom.pl/pl/oferta/metro-stoklosy-3-pokoje-ID4o3o1,799000,12311,3,"64,9 m²",Zapytaj,3 ,Zapytaj,parter/10,Zapytaj,Zapytaj,Zapytaj,Zapytaj,Zapytaj
21,https://www.otodom.pl/pl/oferta/mieszkanie-2-pokojowe-45m-2-gerbera-piaseczno-ID4o3nC,560000,12444,2,45 m²,pełna własność,2 ,do zamieszkania,parter/3,"balkon, ogródek",650 zł,garaż/miejsce parkingowe,Zapytaj,miejskie
22,https://www.otodom.pl/pl/oferta/lipowa-2-pokoje-duzy-ogrod-blisko-wkd-blanco-ID4o3nf,565000,13916,2,"40,6 m²",pełna własność,2 ,do wykończenia,parter/4,"ogródek, taras",500 zł,garaż/miejsce parkingowe,Zapytaj,miejskie
23,https://www.otodom.pl/pl/oferta/mieszkanie-44-35-m-warszawa-ID4o3n8,665250,15000,2,"44,35 m²",pełna własność,2 ,do wykończenia,4/4,balkon,Zapytaj,garaż/miejsce parkingowe,tak,miejskie
24,https://www.otodom.pl/pl/oferta/przy-parku-szczesliwickim-3-pokoje-garaz-ID4o3mS,899000,17627,3,51 m²,pełna własność,3 ,do zamieszkania,parter/5,Zapytaj,Zapytaj,Zapytaj,Zapytaj,miejskie
25,https://www.otodom.pl/pl/oferta/przestronne-3-pokoje-piekny-widok-dobry-stan-ID4o3mM,960000,14953,3,"64,2 m²",Zapytaj,3 ,do zamieszkania,4/8,Zapytaj,Zapytaj,garaż/miejsce parkingowe,Zapytaj,miejskie
26,https://www.otodom.pl/pl/oferta/nowe-budownictwo-blisko-metra-kondratowicza-ID4o3mJ,878000,13508,2,65 m²,pełna własność,2 ,do zamieszkania,4/6,balkon,Zapytaj,garaż/miejsce parkingowe,Zapytaj,miejskie
27,https://www.otodom.pl/pl/oferta/44m2-balkon-13m2-fort-wola-ID4o3m9,828000,18818,2,44 m²,pełna własność,2 ,do zamieszkania,7/7,balkon,730 zł,garaż/miejsce parkingowe,Zapytaj,miejskie
28,https://www.otodom.pl/pl/oferta/przestronny-3pok-apartament-w-wybornej-lokalizacji-ID4o3lD,1500000,18007,3,"83,3 m²",pełna własność,3 ,do zamieszkania,7/10,balkon,1 300 zł,garaż/miejsce parkingowe,tak,miejskie
29,https://www.otodom.pl/pl/oferta/2pok-ID4o3lu,599250,12500,2,"47,94 m²",pełna własność,2 ,do wykończenia,1/3,balkon,Zapytaj,garaż/miejsce parkingowe,Zapytaj,Zapytaj
30,https://www.otodom.pl/pl/oferta/2-pokojowe-po-remoncie-1994r-os-b-prusa-ID4o3lb,665000,12643,2,"52,6 m²",Zapytaj,2 ,do zamieszkania,3/4,balkon,600 zł,Zapytaj,Zapytaj,miejskie
31,https://www.otodom.pl/pl/oferta/2-pokoje-bliska-wola-w-wa-klima-metro-plocka-ID4o3l0,1150000,26406,2,"43,55 m²",pełna własność,2 ,do zamieszkania,5/8,balkon,550 zł,garaż/miejsce parkingowe,Zapytaj,miejskie
32,https://www.otodom.pl/pl/oferta/po-remoncie-blisko-metro-dostepne-od-zaraz-ID4o3kL,699000,14809,3,"47,2 m²",pełna własność,3 ,do zamieszkania,parter/4,Zapytaj,Zapytaj,Zapytaj,Zapytaj,miejskie
33,https://www.otodom.pl/pl/oferta/funkcjonalne-3-pokoje-z-oddzielna-kuchnia-ID4o3kk,778000,11969,3,65 m²,Zapytaj,3 ,do zamieszkania,8/10,balkon,938 zł,Zapytaj,Zapytaj,miejskie
34,https://www.otodom.pl/pl/oferta/dwupoziomowy-komfort-na-bialolece-ID4o3ka,1300000,9777,4,"132,97 m²",pełna własność,4 ,do zamieszkania,3/3,balkon,1 000 zł,garaż/miejsce parkingowe,Zapytaj,miejskie
35,https://www.otodom.pl/pl/oferta/do-sprzedazy-2-pok-mieszkanie-ul-kowalczyka-ID4o3jz,469000,13400,2,35 m²,Zapytaj,2 ,do zamieszkania,3/11,Zapytaj,700 zł,Zapytaj,Zapytaj,miejskie
36,https://www.otodom.pl/pl/oferta/mieszkanie-3-pok-62-m2-bialoleka-ul-odkrtyta-ID4o3jr,800000,12759,3,"62,7 m²",pełna własność,3 ,Zapytaj,3/4,balkon,830 zł,garaż/miejsce parkingowe,Zapytaj,miejskie
37,https://www.otodom.pl/pl/oferta/2-pokojowe-37-8m2-uesus-niedzwiadek-ID4o3jm,490000,12963,2,"37,8 m²",Zapytaj,2 ,do remontu,parter/4,Zapytaj,600 zł,Zapytaj,Zapytaj,Zapytaj
38,https://www.otodom.pl/pl/oferta/mieszkanie-3pokoje-71m-2-balkony-2-lazienki-ID4o3jf,669000,9423,3,71 m²,pełna własność,3 ,do zamieszkania,3/4,balkon,1 100 zł,Zapytaj,Zapytaj,miejskie
39,https://www.otodom.pl/pl/oferta/20min-do-centrum-12min-do-metra-czynsz-345zl-ID4o3j5,568600,11197,3,"50,78 m²",pełna własność,3 ,do wykończenia,2/2,balkon,345 zł,garaż/miejsce parkingowe,Zapytaj,miejskie
40,https://www.otodom.pl/pl/oferta/2-pokoje-na-bielanach-blisko-awf-i-uksw-ID4o3iU,540000,15000,2,36 m²,pełna własność,2 ,do remontu,parter/4,Zapytaj,420 zł,Zapytaj,Zapytaj,miejskie
41,https://www.otodom.pl/pl/oferta/3pok55-42mkwbezpiecznykredyt2-nowe-ID4o3il,609620,11000,3,"55,42 m²",pełna własność,3 ,do wykończenia,1/5,Zapytaj,Zapytaj,garaż/miejsce parkingowe,Zapytaj,miejskie
42,https://www.otodom.pl/pl/oferta/3-pokoje-apartament-wilanow-ID4o3hM,1267000,19492,3,65 m²,pełna własność,3 ,do zamieszkania,1/4,balkon,800 zł,Zapytaj,tak,miejskie
43,https://www.otodom.pl/pl/oferta/kawalerka-metro-wawrzyszew-awf-las-bielanski-ID4o3hE,420000,17500,1,24 m²,pełna własność,Zapytaj,Zapytaj,1/10,balkon,466 zł,Zapytaj,Zapytaj,Zapytaj
44,https://www.otodom.pl/pl/oferta/dwustronne-gotowe-do-zamieszkania-kredyt-2-ID4o3hB,670000,14703,2,"45,57 m²",Zapytaj,2 ,Zapytaj,4/7,balkon,740 zł,garaż/miejsce parkingowe,Zapytaj,Zapytaj
45,https://www.otodom.pl/pl/oferta/do-remontu-inwestycja-cisza-bezczynszowe-ID4o3hz,220000,5366,2,41 m²,Zapytaj,2 ,do remontu,1/2,ogródek,Zapytaj,Zapytaj,Zapytaj,Zapytaj
46,https://www.otodom.pl/pl/oferta/nowoczesny-dizajn-taras-i-ogrodek-350m-do-pkp-ID4o3hu,919000,15317,3,60 m²,Zapytaj,3 ,do zamieszkania,parter/3,"ogródek, taras",Zapytaj,garaż/miejsce parkingowe,Zapytaj,Zapytaj
47,https://www.otodom.pl/pl/oferta/kawalerka-ursynow-bezposrednio-ID4o3h7,570000,18304,1,"31,14 m²",pełna własność,Zapytaj,do zamieszkania,5/7,balkon,586 zł,Zapytaj,Zapytaj,Zapytaj
48,https://www.otodom.pl/pl/oferta/trzypokojowe-mieszkanie-w-atrakcyjnej-cenie-ID4o3h0,729425,9570,3,"76,22 m²",Zapytaj,3 ,Zapytaj,1/3,balkon,Zapytaj,garaż/miejsce parkingowe,Zapytaj,gazowe
49,https://www.otodom.pl/pl/oferta/przestronne-4-pokoje-dla-rodziny-na-tarchominie-ID4o3gP,902000,12453,4,"72,43 m²",pełna własność,4 ,do wykończenia,1/3,balkon,Zapytaj,garaż/miejsce parkingowe,Zapytaj,miejskie
50,https://www.otodom.pl/pl/oferta/gotowe-3-pokoje-w-kredycie-2-ID4o3gq,695000,9638,3,"72,11 m²",pełna własność,3 ,do wykończenia,1/3,balkon,Zapytaj,garaż/miejsce parkingowe,Zapytaj,Zapytaj
51,https://www.otodom.pl/pl/oferta/2-pokojowy-apartament-z-ogrodkiem-blisko-metra-ID4o3gn,1030680,28000,2,"36,81 m²",pełna własność,2 ,Zapytaj,1/8,balkon,Zapytaj,Zapytaj,Zapytaj,miejskie
52,https://www.otodom.pl/pl/oferta/mieszkanie-91-40-m-warszawa-ID4o3go,1580000,17287,4,"91,4 m²",pełna własność,4 ,do wykończenia,1/3,Zapytaj,Zapytaj,garaż/miejsce parkingowe,Zapytaj,Zapytaj
53,https://www.otodom.pl/pl/oferta/okazja-kawalerka-28-61-m2-w-dobrej-cenie-marysin-ID4o3gm,500675,17500,1,"28,61 m²",pełna własność,Zapytaj,Zapytaj,1/5,taras,Zapytaj,garaż/miejsce parkingowe,Zapytaj,miejskie
54,https://www.otodom.pl/pl/oferta/3-pokojowe-mieszkanie-z-duzym-ogrodem-ID4o3g6,530000,10836,3,"48,91 m²",pełna własność,3 ,do zamieszkania,parter/3,"ogródek, taras",500 zł,garaż/miejsce parkingowe,Zapytaj,Zapytaj
55,https://www.otodom.pl/pl/oferta/urokliwe-miejsce-na-zoliborzu-ID4o3fS,799000,17000,2,47 m²,Zapytaj,2 ,Zapytaj,3/9,balkon,900 zł,Zapytaj,Zapytaj,Zapytaj
56,https://www.otodom.pl/pl/oferta/nowoczesne-mieszkanie-przy-metrze-ul-szeligowska-ID4o3fQ,715000,19922,1,"35,89 m²",pełna własność,Zapytaj,do zamieszkania,5/6,balkon,380 zł,Zapytaj,Zapytaj,miejskie
57,https://www.otodom.pl/pl/oferta/super-cena-wysoki-standard-blisko-pkp-kredyt2-ID4o3fg,562000,9887,3,"56,84 m²",pełna własność,3 ,do wykończenia,2/5,balkon,456 zł,garaż/miejsce parkingowe,Zapytaj,miejskie
58,https://www.otodom.pl/pl/oferta/segment-w-cenie-mieszkania-bk-2-super-lokalizacja-ID4o3eX,820000,7257,3,113 m²,pełna własność,3 ,do zamieszkania,parter/2,"ogródek, taras",Zapytaj,garaż/miejsce parkingowe,Zapytaj,elektryczne
59,https://www.otodom.pl/pl/oferta/5min-do-pkp-kredyt-2-garaz-winda-ID4o3ec,544100,10104,3,"53,85 m²",pełna własność,3 ,do wykończenia,3/5,balkon,420 zł,garaż/miejsce parkingowe,Zapytaj,miejskie
60,https://www.otodom.pl/pl/oferta/mieszkanie-2-pokoje-wykonczone-pod-klucz-ID4o3dS,610000,13988,2,"43,61 m²",pełna własność,2 ,do zamieszkania,1/4,balkon,400 zł,garaż/miejsce parkingowe,tak,Zapytaj
61,https://www.otodom.pl/pl/oferta/mieszkanie-wlasnosciowe-dorycka-5-25m2-ID4o3dR,399000,15960,1,25 m²,pełna własność,Zapytaj,do wykończenia,3/10,balkon,500 zł,Zapytaj,tak,miejskie
62,https://www.otodom.pl/pl/oferta/gotowe-do-wprowadzenia-45-m2-ozarow-ID4o3du,560000,12335,2,"45,4 m²",Zapytaj,2 ,do zamieszkania,2/3,balkon,Zapytaj,garaż/miejsce parkingowe,Zapytaj,Zapytaj
63,https://www.otodom.pl/pl/oferta/okazja-narozne-rozkladowe-3-pokoje-ID4o3dt,979990,17043,3,"57,5 m²",pełna własność,3 ,Zapytaj,2/3,balkon,650 zł,Zapytaj,Zapytaj,miejskie
64,https://www.otodom.pl/pl/oferta/mieszkanie-na-sprzedaz-warszawa-bialoleka-ID4o3d1,649000,12315,2,"52,7 m²",pełna własność,2 ,do zamieszkania,2/4,balkon,750 zł,Zapytaj,tak,miejskie
65,https://www.otodom.pl/pl/oferta/5-pokojowe-mieszkanie-na-sprzedaz-ID4o3cX,950000,12838,5,74 m²,pełna własność,5 ,Zapytaj,2/7,balkon,Zapytaj,garaż/miejsce parkingowe,Zapytaj,Zapytaj
66,https://www.otodom.pl/pl/oferta/0-prow-nowe-53-m2-3-pok-pruszkow-ID4o3cW,547760,10250,3,"53,44 m²",pełna własność,3 ,Zapytaj,2/6,balkon,Zapytaj,garaż/miejsce parkingowe,Zapytaj,Zapytaj
67,https://www.otodom.pl/pl/oferta/0-prow-nowe-56-m2-3-pok-pruszkow-ID4o3cU,617100,11000,3,"56,1 m²",pełna własność,3 ,Zapytaj,6/6,balkon,Zapytaj,garaż/miejsce parkingowe,Zapytaj,Zapytaj
68,https://www.otodom.pl/pl/oferta/0-prow-nowe-53-m2-3-pok-pruszkow-ID4o3cS,562523,10450,3,"53,83 m²",pełna własność,3 ,Zapytaj,5/6,balkon,Zapytaj,garaż/miejsce parkingowe,Zapytaj,Zapytaj
69,https://www.otodom.pl/pl/oferta/sielce-2-pokoje-cegla-prawie-3m-wysokosci-ID4o3cJ,775000,15005,2,"51,65 m²",Zapytaj,2 ,do remontu,parter/4,Zapytaj,700 zł,Zapytaj,Zapytaj,Zapytaj
70,https://www.otodom.pl/pl/oferta/widne-3-pokojowe-mieszkanie-w-centrum-pruszkowa-ID4o3cC,520000,10833,3,48 m²,Zapytaj,3 ,Zapytaj,4/5,balkon,650 zł,Zapytaj,Zapytaj,miejskie
71,https://www.otodom.pl/pl/oferta/3-pokojowe-mieszkanie-praga-poludnie-z-balkonem-ID4o3c9,1025269,14900,3,"68,81 m²",pełna własność,3 ,do wykończenia,4/4,Zapytaj,Zapytaj,garaż/miejsce parkingowe,Zapytaj,miejskie
